passengerId,survived_Prob_RF
816,0.0
817,0.275
818,0.355
819,0.0
820,0.005
821,1.0
822,0.595
823,0.0025
824,0.855
825,0.2
826,0.0025
827,0.6617420634920635
828,0.935
829,0.28840476190476183
830,0.98
831,0.71375
832,0.98
833,0.18607085969585968
834,0.0
835,0.13624999999999998
836,1.0
837,0.015
838,0.0
839,0.9309166666666667
840,0.735
841,0.061
842,0.20597619047619048
843,0.93
844,0.005
845,0.010833333333333332
846,0.0025
847,0.01
848,0.01
849,0.045
850,0.995
851,0.14
852,0.005
853,0.19
854,0.945
855,0.35
856,0.83
857,0.965
858,0.835
859,0.955
860,0.18607085969585968
861,0.063375
862,0.105
863,0.94
864,0.11
865,0.0
866,0.925
867,0.755
868,0.09
869,0.04
870,0.725
871,0.005
872,0.985
873,0.0
874,0.04
875,0.89
876,0.93375
877,0.0025
878,0.02
879,0.0
880,0.92
881,0.855
882,0.006999999999999999
883,0.335
884,0.0
885,0.0
886,0.16
887,0.075
888,0.96
889,0.205
890,0.885
891,0.23973809523809525
